Altitude (m),Velocity (m/s),Thrust (N),Mach Number
4572,57.86949933,21934.655880000002,0.17956910421675298
4572,64.75134766,21773.37651,0.20092348526862128
4572,75.07412016,21557.10237,0.2329550568619388
4572,82.64415333,21458.60728,0.25644487604071486
4572,90.2141865,21387.91994,0.27993469521949105
4572,97.78421967,21350.601909999998,0.3034245143982672
4572,105.0101604,21320.39001,0.3258466144515294
4572,117.053395,21359.76321,0.36321678136211644
4572,124.6234282,21422.55308,0.38670660063398266
4572,132.1934613,21474.21985,0.4101964195955487
4572,139.7634945,21587.06367,0.43368623886741486
4572,147.3335277,21683.222840000002,0.45717605813928097
4572,152.8390063,21798.66038,0.4742595627821836
4572,163.8499637,22018.41236,0.5084265726885889
4572,171.4199968,22164.625480000002,0.531916391650155
4572,178.99003000000002,22355.331009999998,0.5554062109220212
4572,186.5600632,22507.10568,0.5788960301938874
4572,194.1300964,22697.81121,0.6023858494657536
4572,201.7001295,22916.32449,0.6258756684273197
4572,209.2701627,23134.83777,0.6493654876991858
4572,217.7577756,23409.66765,0.6757025575380023
4572,224.41022900000002,23605.233640000002,0.6963451259326181
4572,231.9802622,23857.11622,0.7198349452044842
4572,239.55029539999998,24120.1219,0.7433247644763503
4572,247.12032850000003,24366.44293,0.7668145834379165
4572,254.6903617,24579.394659999998,0.7903044027097826
4572,262.2603949,24814.5926,0.8137942219816487
4572,269.830428,24999.736569999997,0.8372840409432148
4572,277.4004612,25196.00365,0.8607738602150811
4572,284.97049439999995,25358.90143,0.8842636794869471
4572,290.13188060000004,25449.744280000003,0.900279465128456
4572,300.1105607,25684.69698,0.9312433177203795
4572,307.68059389999996,25786.4177,0.9547331369922455
4572,315.250627,25899.26153,0.9782229559538117
4572,322.8206602,25989.85915,1.001712775225678
4572,330.3906934,26041.52592,1.025202594497544
4572,337.96072660000004,26093.19269,1.0486924137694102
4572,345.53075970000003,26094.8055,1.0721822327309765
4572,353.10079289999993,26063.04902,1.0956720520028422
4572,360.67082610000006,26009.04633,1.119161871274709
4572,366.8644896,25855.87037,1.138380814230699
4572,379.25181660000004,25685.37918,1.1768187001426802
4572,386.8218497,25542.39169,1.200308519104246
4572,394.3918829,25293.73474,1.2237983383761122
4572,400.30757850000003,25060.74335,1.2421547467088228
7620,75.18677675,15656.472569999998,0.2427968689332951
7620,85.39689267,15391.205240000001,0.27576788170944777
7620,92.96692583,15322.37175,0.30021340828229975
7620,100.536959,15196.06891,0.3246589348874443
7620,108.10699220000001,15175.435519999999,0.34910446158946634
7620,115.6770253,15126.994380000002,0.37354998796856337
7620,123.2470585,15134.16875,0.39799551467058536
7620,130.54891999999998,15164.2429,0.4215750480169802
7620,139.7634945,15224.65005,0.45133120905832436
7620,147.3335277,15287.439919999999,0.4757767357603463
7620,154.9035608,15405.845290000001,0.5002222621394434
7620,162.473594,15535.373759999999,0.5246677888414654
7620,170.04362719999997,15642.65604,0.5491133155434873
7620,177.61366040000001,15805.55381,0.5735588422455095
7620,183.119139,15936.56369,0.5913374068261391
7620,196.8828357,16248.51605,0.6357838189235632
7620,204.4528689,16439.221569999998,0.6602293456255852
7620,212.022902,16629.9271,0.6846748720046822
7620,219.5929352,16854.001930000002,0.7091203987067043
7620,227.16296839999998,17072.515209999998,0.7335659254087262
7620,234.7330015,17313.2747,0.7580114517878234
7620,242.3030347,17531.78798,0.7824569784898454
7620,249.8730679,17772.547459999998,0.8069025051918673
7620,256.7549162,18017.87921,0.829125711079117
7620,267.5938273,18328.77092,0.8641272604403393
7620,274.64772189999996,18570.09389,0.8869060467734756
7620,282.21775499999995,18833.099580000002,0.9113515731525726
7620,289.78778819999997,19112.78991,0.9357970998545947
7620,297.3578214,19392.48025,0.9602426265566167
7620,304.92785449999997,19649.92438,0.9846881529357138
7620,312.4978877,19912.93006,1.009133679637736
7620,320.0679209,20203.7435,1.0335792063397578
7620,327.637954,20488.99538,1.0580247327188548
7620,335.2079872,20746.43951,1.0824702594208768
7620,349.6598687,21206.57685,1.1291389920101484
7620,357.22990189999996,21391.720830000002,1.1535845187121705
7620,364.7999351,21504.56465,1.1780300454141925
7620,372.3699682,21639.65467,1.2024755717932896
7620,379.94000139999997,21746.93695,1.2269210984953116
