Altitude (m),TAS (m/s),Thrust (N),Mach Number
9144,91.57395514,1168.565115,0.30205124687474805
9144,101.41290450000001,1139.52512,0.3345044364042607
9144,111.25185390000001,1113.9886099999999,0.3669576260657109
9144,121.0908033,1093.356978,0.3994108157271611
9144,130.9297527,1073.426043,0.4318640053886113
9144,140.76870209999998,1051.393017,0.46431719505006147
9144,150.6076515,1036.366961,0.49677038471151175
9144,160.44660090000002,1019.238814,0.5292235743729621
9144,170.2855503,1000.709273,0.5616767640344122
9144,180.1244997,987.0846103,0.5941299536958624
9144,189.9634491,974.8613417000001,0.6265831433573126
9144,199.8023985,960.5359822,0.6590363330187629
9144,209.6413479,949.0134105000001,0.691489522680213
9144,219.03307230000001,938.1292515,0.7224675672670945
9144,233.6754787,924.3040299,0.7707646742731771
9144,239.15819610000003,919.0427963,0.7888490916645639
9144,254.3638451,908.2951333999999,0.8390040209014639
9144,261.07221969999995,905.7384714,0.8611311957006201
9144,293.85151030000003,876.43315,0.9692517369862166
12192,78.61716332,826.7785075,0.2664360940368884
12192,91.57395514,811.9103781,0.31034707807631995
12192,101.41290450000001,800.3878063999999,0.34369159378003344
12192,111.25185390000001,788.1645377,0.37703610961930817
12192,121.0908033,780.1454506,0.41038062545858284
12192,130.9297527,772.1263636,0.4437251412978575
12192,140.76870209999998,762.7058826,0.4770696571371322
12192,150.6076515,758.8909771000001,0.5104141729764069
12192,160.44660090000002,750.1711931,0.5437586888156817
12192,170.2855503,746.3562876,0.5771032046549563
12192,180.1244997,738.3372006,0.610447720494231
12192,189.9634491,736.6243857999999,0.6437922363335057
12192,199.8023985,734.9115711000001,0.6771367521727805
12192,209.6413479,733.1987564,0.7104812680120551
12192,219.48029730000002,731.4859417,0.7438257838513299
12192,229.31924669999998,729.7731269999999,0.7771702996906046
12192,237.81652119999998,729.2573362,0.8059678361588697
12192,253.9805095,728.9791779,0.8607481121805354
12192,264.2027945,725.802511,0.8953917646924671
12192,283.8806933,735.2520837999999,0.9620807963710166
12192,293.71964269999995,733.9773085,0.9954253122102911
12192,303.5585921,739.9721601,1.028769828049566
12192,318.9403725,745.7027841,1.0808991763501117
15240,103.3153348,522.5806377,0.35013899122995484
15240,116.61855359999998,510.4549882,0.39522402744224966
15240,126.457503,506.64008269999994,0.42856854328152444
15240,136.2964524,498.6209956999999,0.4619130591207991
15240,146.1354018,491.30260549999997,0.4952575749600739
15240,155.9743512,488.18839689999993,0.5286020907993486
15240,165.81330060000002,486.47558219999996,0.5619466066386233
15240,175.65225,484.7627675,0.5952911224778981
15240,185.4911994,487.25413439999994,0.6286356383171727
15240,195.33014880000002,489.04480430000007,0.6619801541564475
15240,205.16909819999998,487.33198960000004,0.6953246699957221
15240,215.00804759999997,489.8233563999999,0.7286691858349967
15240,224.84699700000002,491.61402639999994,0.7620137016742716
15240,234.6859464,491.30260549999997,0.7953582175135463
15240,244.5248958,495.8960632,0.828702733352821
15240,254.3638451,500.48952080000004,0.8620472488531924
15240,264.2027945,502.2801907,0.8953917646924671
15240,274.0417439,508.27504220000003,0.9287362805317417
15240,283.8806933,512.1678029,0.9620807963710166
15240,293.71964269999995,523.067533,0.9954253122102911
15240,303.5585921,530.4637783,1.028769828049566
