Efficiency,Speed (RPM),Torque (Nm)
0.92,349.1220757,229.6144389
0.92,362.7505777,239.2018262
0.92,377.8935295,249.919603
0.92,386.4578665,58.59361712
0.92,391.5224178,259.6535201
0.92,403.6384571,268.8640997
0.92,419.7101892,58.5939841
0.92,415.7594639,279.9586342
0.92,426.3632061,288.8552047
0.92,436.969708,298.7984167
0.92,452.9625118,58.59435108
0.92,447.574922,308.253196
0.92,456.6713346,318.7197122
0.92,465.7670112,328.9071239
0.92,474.860848,338.3967746
0.92,486.2148345,58.59471806
0.92,483.9583644,349.2819474
0.92,493.0562488,360.3066724
0.92,505.1812664,372.922326
0.92,519.4671571,58.59508504
0.92,521.8300943,381.5189259
0.92,538.478407,389.9201527
0.92,552.7194798,58.59545202
0.92,556.6422997,399.8803938
0.92,576.3184185,410.1277304
0.92,585.9718024,58.595819
0.92,594.4816225,419.8268095
0.92,611.1329157,429.3584092
0.92,619.2241251,58.59618598
0.92,626.2736597,439.2388728
0.92,641.4148452,449.2867991
0.92,650.2097959,58.80585626
0.92,656.5555891,459.1672627
0.92,671.6976577,469.5501142
0.92,685.7309782,59.43423322
0.92,686.8414926,480.6028164
0.92,710.739161,499.5821808
0.92,697.4416471,488.1387528
0.92,718.9833008,59.4346002
0.92,730.7615831,513.7818392
0.92,742.8784503,523.3064112
0.92,752.2356235,59.43496718
0.92,759.5328397,534.0122432
0.92,780.7191135,543.7611957
0.92,785.4879461,59.43533416
0.92,803.415457,552.9793681
0.92,818.7415734,59.93047718
0.92,827.6238019,562.3994094
0.92,851.9947992,60.27338141
0.92,860.9103452,575.3781324
0.92,885.2471219,60.27374839
0.92,883.606255,584.4318325
0.92,903.2816642,594.4100327
0.92,918.4994445,60.27411537
0.92,921.4450522,604.1788879
0.92,939.6088081,614.0872952
0.92,951.7527707,60.6550793
0.92,953.2320851,621.6930411
0.92,985.0062976,61.11216262
0.92,1018.25862,61.1125296
0.92,1051.510943,61.11289658
0.92,1084.764269,61.4938605
0.92,1118.017796,61.95094382
0.92,1151.270119,61.9513108
0.92,1184.522441,61.95167778
0.92,1216.565809,62.03576275
0.92,1251.029294,62.78972503
0.92,1284.281617,62.79009201
0.92,1317.53394,62.79045899
0.92,1350.786262,62.79082597
0.92,1382.527116,62.79117627
0.92,1417.293115,63.62887322
0.92,1450.545438,63.62924019
0.92,1483.798062,63.74378626
0.92,1517.050083,63.62997415
0.92,1550.302406,63.63034113
0.92,1583.556736,64.39190201
0.92,1616.809259,64.46838838
0.92,1650.061582,64.46875536
0.92,1683.313904,64.46912234
0.92,1716.566227,64.46948932
0.92,1753.221287,65.20254296
0.92,1783.07308,65.30753657
0.92,1816.326105,65.57432141
0.92,1849.580034,66.18364351
0.92,1882.834163,66.869085
0.92,1916.088191,67.51646679
0.92,1946.990388,67.91432019
0.92,1982.595847,68.65899159
0.92,2015.849474,69.15413461
0.92,2049.1027,69.49703884
0.92,2082.35713,70.29665941
0.92,2113.930634,70.52113717
0.92,2148.864084,71.17276635
0.92,2182.117711,71.66790937
0.92,2215.371238,72.12499268
0.92,2248.625367,72.81043417
0.92,2281.542889,73.22099638
0.92,2315.13232,73.68654111
0.92,2348.386349,74.3339229
0.92,2381.639475,74.63876744
0.92,2414.893704,75.36226862
0.92,2447.239587,75.53008825
0.92,2481.400557,76.20031587
0.92,2513.394978,76.82865392
0.92,2547.90741,77.03836312
0.92,2581.160335,77.26708827
0.92,2614.414263,77.87641036
0.92,2647.667088,78.06707582
0.92,2680.921116,78.71445761
0.92,2714.174342,79.05736184
0.92,2747.427969,79.55250486
0.92,2780.681898,80.16182695
0.92,2813.934822,80.3905521
0.92,2853.23523,81.22829909
0.92,2886.487552,81.22866607
0.92,2919.741882,81.99022695
0.92,2952.994405,82.06671332
0.92,2982.36167,82.66511833
0.94,411.7925259,113.0192588
0.94,415.3612352,128.9282501
0.94,428.893207,101.9060169
0.94,418.4178423,141.6973111
0.94,426.0003939,151.2567212
0.94,435.0938628,160.6068197
0.94,445.7015605,171.0035764
0.94,462.132283,96.88250418
0.94,456.3103622,181.8189898
0.94,465.403831,191.1690882
0.94,474.4969319,200.3796345
0.94,483.5911367,210.0088374
0.94,495.3729646,92.46794656
0.94,494.9487736,218.2076551
0.94,505.6668121,229.5065184
0.94,528.6199685,90.45114971
0.94,527.4982104,238.2512005
0.94,551.7077972,248.1422306
0.94,561.8721908,90.413457
0.94,574.4040816,257.337975
0.94,595.1228074,89.76680916
0.94,595.5884631,266.3692304
0.94,615.2630049,276.018486
0.94,628.3746283,89.57687767
0.94,633.4241851,284.9500279
0.94,651.5853653,293.8815698
0.94,661.6259474,89.1966477
0.94,669.7470055,302.987552
0.94,686.3983907,312.5540398
0.94,694.8770658,88.74029834
0.94,701.5367061,321.5134588
0.94,718.1891768,331.4916256
0.94,728.1291878,88.66454593
0.94,734.8417947,341.5256133
0.94,751.4933823,351.1688548
0.94,761.3804065,88.24625627
0.94,774.1897674,360.4028099
0.94,794.6340338,88.74139928
0.94,799.9098422,369.9217174
0.94,824.1170833,378.9231021
0.94,827.8863564,88.74176626
0.94,846.8121652,387.6628098
0.94,861.1386791,88.74213324
0.94,867.9963889,396.6342571
0.94,890.6923776,405.7178613
0.94,894.3914032,88.894739
0.94,914.9022404,415.7135555
0.94,927.6453315,89.5040611
0.94,937.5999834,425.4625247
0.94,960.8978548,89.58054747
0.94,957.2748932,435.2513326
0.94,975.4369933,444.531755
0.94,994.1505789,89.73315323
0.94,994.6769008,453.1243963
0.94,1013.269325,461.8266786
0.94,1027.403203,89.84769929
0.94,1046.551785,473.2570365
0.94,1060.657031,90.4189617
0.94,1073.78313,482.7003699
0.94,1093.909353,90.41932868
0.94,1107.447955,495.8360933
0.94,1093.45072,489.7130856
0.94,1127.163181,90.99059108
0.94,1132.78383,502.9535356
0.94,1155.479582,511.9474277
0.94,1160.416206,91.25737592
0.94,1178.17565,521.0609359
0.94,1193.669131,91.48610107
0.94,1202.384547,530.6903056
0.94,1226.922859,92.01930378
0.94,1226.593581,540.3720073
0.94,1255.337062,550.0680315
0.94,1260.175683,92.20996923
0.94,1288.948589,558.9137572
0.94,1293.429511,92.78123164
0.94,1321.883855,566.0538373
0.94,1326.682235,92.93383739
0.94,1355.157052,573.9706208
0.94,1359.936063,93.5050998
0.94,1388.430348,581.925464
0.94,1393.189088,93.77188464
0.94,1418.682301,590.4850002
0.94,1426.441511,93.81031132
0.94,1445.911806,599.2305725
0.94,1459.695941,94.60993189
0.94,1474.653638,608.3017834
0.94,1492.948063,94.53417948
0.94,1506.419681,617.8551171
0.94,1526.20159,94.9912628
0.94,1527.594801,623.3740064
0.94,1559.455117,95.44834611
0.94,1592.70764,95.52483248
0.94,1625.96187,96.24833367
0.94,1659.214293,96.28676034
0.94,1692.46782,96.74384366
0.94,1725.721146,97.12480759
0.94,1758.97397,97.31547304
0.94,1792.227798,97.88673544
0.94,1825.481024,98.22963968
0.94,1858.73435,98.6106036
0.94,1891.987175,98.80126906
0.94,1916.926969,99.01087262
0.94,1958.567094,99.51824903
0.94,1997.189255,99.93071474
0.94,2040.899546,100.4154695
0.94,2085.046607,100.7791609
0.94,2126.133718,101.0217506
0.94,2166.346648,101.2643305
0.94,2247.647967,102.2337725
0.94,2322.828109,102.4767383
0.94,2365.664538,103.0825515
0.94,2413.309916,104.051622
0.94,2473.63027,104.7786962
0.94,2530.45486,105.8689361
0.94,2580.285051,106.5958946
0.94,2623.996937,107.6859898
0.94,2672.516177,108.5340018
0.94,2717.975466,109.260912
0.94,2765.621483,110.4721187
0.94,2811.080133,110.9568927
0.94,2853.043659,112.0469686
0.94,2891.509825,112.8948697
0.94,2929.101492,113.6216931
0.94,2964.507708,114.3484924
0.94,2998.602335,114.9542091
0.94,2285.675447,102.4763283
0.94,2207.871169,101.6279931
0.95,672.1377919,145.1379711
0.95,675.4327379,166.4008888
0.95,671.7178792,155.7251037
0.95,678.9916962,178.6117465
0.95,687.5882413,190.5784434
0.95,698.1307865,200.5358321
0.95,721.5981006,135.1482456
0.95,716.3608541,211.323197
0.95,729.9896873,221.0361813
0.95,749.4006476,130.7207423
0.95,745.1297689,230.6654509
0.95,766.3146234,239.8761306
0.95,782.6482536,128.9323036
0.95,792.0335177,248.9473081
0.95,815.897666,127.8289394
0.95,819.2651077,258.4836763
0.95,844.9851211,267.9793252
0.95,849.1469781,126.6875156
0.95,865.4150429,276.6829907
0.95,882.3965912,125.6602708
0.95,889.2060696,285.555639
0.95,915.6460036,124.5569066
0.95,914.5854237,295.5590989
0.95,937.2793819,303.8726739
0.95,948.8953156,123.4154827
0.95,958.4656558,313.6216264
0.95,980.6332789,122.3197138
0.95,982.2943199,322.3538705
0.95,1003.858391,332.0762458
0.95,1032.601009,341.4451681
0.95,1061.342179,350.265185
0.95,1088.571561,358.96424
0.95,1115.801066,367.7098123
0.95,1143.030326,376.3623499
0.95,1170.259953,385.1544396
0.95,1188.414142,391.4344895
0.95,1224.721048,403.4363802
0.95,1253.463617,412.7866955
0.95,1285.226247,421.0459996
0.95,1316.989589,429.5755275
0.95,1347.242928,438.6607103
0.95,1377.495273,447.3691021
0.95,1409.260753,456.7093015
0.95,1441.026655,466.2093517
0.95,1471.279773,475.2108031
0.95,1515.144734,487.4817325
0.95,1548.416977,495.0369489
0.95,1581.689605,502.7380608
0.95,1614.963771,511.0227547
0.95,1648.238573,519.5484933
0.95,1681.512973,527.9219932
0.95,1714.787374,536.295493
0.95,1747.305212,544.354992
0.95,1781.328949,550.3021947
0.95,1814.595221,555.5928592
0.95,1847.861593,560.9215835
0.95,1881.127765,566.1741884
0.95,1914.394137,571.5029126
0.95,1947.660609,576.8696966
0.95,1980.926881,582.1603611
0.95,2014.193253,587.4890854
0.95,2047.459927,592.9319887
0.95,2080.726533,598.3495189
0.95,2113.992236,603.4245119
0.95,2147.255972,607.7535348
0.95,2180.521983,612.9452442
0.95,2213.79259,619.8800876
0.95,2236.473861,623.3818297
0.95,1010.298152,122.0752827
0.95,1036.523241,121.9545041
0.95,1063.622191,121.712667
0.95,1095.966542,121.5919558
0.95,1130.933114,121.3502056
0.95,1163.277465,121.2294944
0.95,1191.251233,121.2298032
0.95,1220.09982,121.4722577
0.95,1250.696449,121.5936635
0.95,1292.657421,121.7151946
0.95,1322.380508,122.0787269
0.95,1352.977455,122.3212008
0.95,1386.196625,122.4426355
0.95,1419.416433,122.8062063
0.95,1457.007142,123.1698255
0.95,1489.353727,123.896591
0.95,1527.819255,124.5023559
0.95,1563.662242,125.1080919
0.95,1599.505548,125.834896
0.95,1641.467478,126.3196314
0.95,1682.555227,126.8043572
0.95,1718.397576,127.167957
0.95,1754.240563,127.773693
0.95,1792.705133,128.0162537
0.95,1828.547482,128.3798535
0.95,1867.01301,128.9856184
0.95,1908.100759,129.4703442
0.95,1945.692426,130.1971676
0.95,1986.343724,130.9240248
0.95,2026.120203,131.4087361
0.95,2066.33441,132.1355884
0.95,2103.050939,132.4991979
0.95,2141.517106,133.347099
0.95,2177.358816,133.4685626
0.95,2214.076302,134.1953764
0.95,2251.667969,134.9221997
0.95,2290.570906,135.6490376
0.95,2329.473524,136.2548074
0.95,2370.561912,136.9816693
0.95,2414.272522,137.5874922
0.95,2454.049639,138.3143396
0.95,2499.070881,138.6780408
0.95,2542.78149,139.2838636
0.95,2580.372838,139.8896189
0.95,2619.712227,140.3743254
0.95,2659.051935,140.9801
0.95,2699.265823,141.5858842
0.95,2738.168122,142.0705859
0.95,2777.945559,142.9185015
0.95,2816.411087,143.5242664
0.95,2854.002434,144.1300217
0.95,2890.719602,144.7357673
0.95,2927.873859,145.3415178
0.95,2961.968486,145.9472345
0.95,2996.937292,146.5529608
0.95,695.9820065,140.2873111
0.955,956.9691855,205.6711912
0.955,943.4207342,185.0557007
0.955,965.2162522,216.6835708
0.955,974.9184089,227.1855887
0.955,987.1146143,172.8232215
0.955,991.0664211,235.067293
0.955,1183.648925,303.8989174
0.955,1212.394165,314.2623818
0.955,1239.62551,323.7057152
0.955,1269.878031,332.4809229
0.955,1303.153737,341.3491988
0.955,1331.891838,349.0052233
0.955,1375.757145,361.4074586
0.955,1407.52099,370.127285
0.955,1439.285818,379.2200964
0.955,1472.560519,387.7077754
0.955,1505.836132,396.5412538
0.955,1539.107213,403.6555215
0.955,1572.377499,410.4685738
0.955,1605.648487,417.548044
0.955,1637.709999,424.5133218
0.955,1669.169454,432.438241
0.955,1699.417683,439.5856416
0.955,1732.692686,448.1874996
0.955,1765.964677,455.6475668
0.955,1799.23406,462.1180819
0.955,1832.503945,468.7788954
0.955,1865.773127,475.1732912
0.955,1899.04261,481.681866
0.955,1929.287215,487.4545866
0.955,1965.581878,494.8133937
0.955,1998.849275,500.5306715
0.955,2032.117733,506.6504937
0.955,2065.385008,512.3217552
0.955,2098.650878,517.460181
0.955,2131.91705,522.7127859
0.955,2165.183824,528.1937489
0.955,2198.450095,533.4844135
0.955,2231.716668,538.8892571
0.955,2264.981937,543.7993247
0.955,2298.243793,547.4153627
0.955,2331.504746,550.6888635
0.955,2364.7659,554.0384836
0.955,2398.026853,557.3119843
0.955,2431.288006,560.6616045
0.955,2464.548859,563.8970455
0.955,2497.809612,567.0944268
0.955,2531.069461,569.9492709
0.955,2564.32921,572.7660553
0.955,2597.588457,575.3925413
0.955,2630.848205,578.2093257
0.955,2664.107453,580.8358116
0.955,2697.367201,583.652596
0.955,2730.627552,586.6977385
0.955,2763.887502,589.5906423
0.955,2797.147853,592.6357849
0.955,2830.406021,594.8532784
0.955,2863.665778,597.6730851
0.955,2896.92439,600.0585263
0.955,2930.183436,602.6088929
0.955,2963.443185,605.4256773
0.955,2989.143249,607.3555874
0.955,964.2620119,178.8557065
0.955,1012.513776,244.0312247
0.955,1033.661081,252.1026637
0.955,1053.348227,258.9634058
0.955,1074.494467,266.6312845
0.955,1103.661476,277.1241738
0.955,1128.086691,285.0947589
0.955,1153.607557,294.1751469
0.955,1023.967869,167.5566775
0.955,1066.939354,164.1268893
0.955,1106.997969,161.1006293
0.955,1141.958795,158.6796534
0.955,1181.652902,155.5524993
0.955,1215.520205,152.8288412
0.955,1248.296379,150.7105114
0.955,1283.262525,150.307337
0.955,1321.87109,149.9042028
0.955,1361.572911,149.7028608
0.955,1399.089548,149.6023848
0.955,1444.254465,149.199323
0.955,1490.148929,149.1998295
0.955,1530.21579,149.3011617
0.955,1568.097733,149.60425
0.955,1605.980208,150.1091184
0.955,1647.505367,150.7149171
0.955,1684.659093,151.1188875
0.955,1723.270051,151.6237639
0.955,1757.509842,152.0277021
0.955,1798.305986,152.4317126
0.955,1835.460509,153.1383532
0.955,1874.800483,153.8450178
0.955,1918.511093,154.4508406
0.955,1960.037316,155.4601996
0.955,1997.921121,156.4695184
0.955,2039.445747,156.873537
0.955,2076.600271,157.5801775
0.955,2114.48381,158.4886063
0.955,2147.99565,159.0943165
0.955,2188.792857,159.9018874
0.955,2228.861049,160.50767
0.955,2268.201289,161.3152247
0.955,2306.813577,162.3245516
0.955,2343.968367,163.1320822
0.955,2383.309139,164.141417
0.955,2419.007494,165.1507117
0.955,2459.074621,165.3529341
0.955,2508.613897,166.2614914
