Efficiency,Speed (RPM),Torque (Nm)
0.55,149.3851114,158.8810518
0.55,149.3856222,145.8408931
0.55,149.386133,132.8007345
0.55,148.71558,117.7847442
0.55,157.4360192,230.0097894
0.55,155.4233387,211.042136
0.55,158.4479185,97.58310152
0.55,171.5271777,301.6470347
0.55,163.4752914,255.4978218
0.55,163.4821022,81.62903961
0.55,165.4881344,270.3163338
0.55,171.5278942,283.356942
0.55,175.5632703,65.62610764
0.55,183.6060903,343.2240241
0.55,179.5800327,323.0707519
0.55,187.6322098,361.796671
0.55,197.4101336,401.6686719
0.55,193.6717451,380.567046
0.55,203.7518459,49.13042912
0.55,209.1062662,424.6281249
0.55,213.8034147,446.0657051
0.55,235.6089208,503.6613623
0.55,239.9939215,37.5927657
0.55,229.9092124,486.6692161
0.55,246.0150914,525.1981565
0.55,250.0413116,541.2022873
0.55,258.0944542,555.2803307
0.55,266.1473879,574.6929845
0.55,285.0949397,29.14157329
0.55,277.5560681,593.0686027
0.55,288.2934584,615.2404942
0.55,298.3599702,630.708791
0.55,307.4195924,650.7142542
0.55,332.6119272,24.23619063
0.55,318.4926381,670.7198673
0.55,328.5591714,685.6377678
0.55,344.6659689,700.7207663
0.55,348.6921606,717.4493503
0.55,360.7719665,736.2201748
0.55,378.1154061,21.50222173
0.55,372.8518576,752.8176395
0.55,384.9319034,765.463541
0.55,399.0251967,782.6044955
0.55,421.2027256,20.0756812
0.55,413.3052847,800.1492749
0.55,465.4981607,17.07938228
0.55,509.7934307,18.29509053
0.55,554.0888106,16.70878122
0.55,598.3841934,15.04703297
0.55,642.6795313,14.53303423
0.55,686.9748977,13.28799629
0.55,731.2702463,12.50098045
0.55,775.5655783,12.1360634
0.55,819.8609588,10.53179244
0.55,864.156281,10.41833852
0.55,908.4515739,11.05029311
0.55,952.7469049,10.71231854
0.55,997.0422373,10.33842068
0.55,1041.337554,10.36865996
0.55,1085.632874,10.30011016
0.55,1129.928196,10.19563706
0.55,1174.223507,10.37855038
0.55,1218.518824,10.38184718
0.55,1262.814127,10.75156167
0.55,1307.109425,11.26679815
0.55,1351.404738,11.39282203
0.55,1395.70006,11.26437832
0.55,1439.995378,11.26767512
0.55,1484.290711,10.87761177
0.55,1528.586043,10.50371391
0.55,1572.881361,10.50701071
0.55,1617.176657,11.07071103
0.55,1661.471966,11.28415915
0.55,1705.767283,11.28745596
0.55,1750.062606,11.1572487
0.55,1794.357931,10.98811365
0.55,1838.653255,10.82315879
0.55,1882.948572,10.82645559
0.55,1927.24389,10.8297524
0.55,1971.5392,11.02164654
0.55,2015.834519,10.99800087
0.55,2060.129831,11.13601006
0.55,2104.425149,11.13930687
