BSFC (g/(kWh)),Power (W),Speed (RPM)
316.30404,1534584.434,2479.461206
316.30404,1547870.663,2458.499085
316.30404,1561162.689,2436.421364
316.30404,1579466.677,2400.781685
316.30404,1571122.143,2421.703813
316.30404,1596076.046,2374.274553
316.30404,1599242.044,2398.969271
316.30404,1606059.462,2354.945858
316.30404,1616039.786,2336.212149
316.30404,1626030.932,2315.395988
316.30404,1636017.44,2295.472306
316.30404,1646008.586,2274.656145
316.30404,1656009.007,2252.055025
316.30404,1666004.79,2230.346384
316.30404,1675993.231,2210.050836
316.30404,1689313.511,2182.535907
328.46958,595745.5421,2282.717232
328.46958,629485.0732,2317.825563
328.46958,649145.0387,2338.220561
328.46958,668806.5501,2358.318066
328.46958,688469.6075,2378.118078
328.46958,708133.4378,2397.769343
328.46958,727803.4518,2416.230635
328.46958,747468.0551,2435.733154
328.46958,767137.2962,2454.343193
328.46958,788447.5087,2474.144598
328.46958,811395.7111,2495.711105
328.46958,834347.2263,2516.640127
328.46958,857302.0542,2536.931664
328.46958,872981.321,2550.064243
328.46958,1544899.269,2549.485667
328.46958,1568959.731,2520.856884
328.46958,1585550.009,2498.023342
328.46958,1600489.19,2475.947014
328.46958,1613771.941,2455.654252
328.46958,1627065.127,2433.353412
328.46958,1646183.895,2399.407403
328.46958,1637017.624,2419.974579
328.46958,1661986.986,2369.570389
328.46958,1671968.856,2350.539186
328.46958,1681956.91,2330.318012
328.46958,1691949.602,2309.204357
328.46958,1701940.747,2288.388196
328.46958,1711936.531,2266.679556
328.46958,1730041.746,2231.008472
340.63512,596408.9542,2411.815635
340.63512,628831.9187,2443.516416
340.63512,650130.868,2465.485271
340.63512,671437.6573,2485.945411
340.63512,692744.2259,2506.448049
340.63512,715694.416,2527.632065
340.63512,742678.9031,2549.720755
352.80066,1631745.348,2547.513662
352.80066,1648032.143,2519.198294
352.80066,1658009.376,2501.059571
352.80066,1667988.154,2482.623355
352.80066,1679632.638,2460.618615
352.80066,1692942.056,2435.194096
352.80066,1713643.714,2399.208595
352.80066,1702899.192,2420.922784
352.80066,1727880.921,2368.138649
352.80066,1737865.883,2348.51246
352.80066,1747858.574,2327.398806
352.80066,1759501.899,2305.617185
352.80066,1770723.646,2284.322664
377.13174,1696399.542,2548.319092
377.13174,1712617.356,2522.106969
377.13174,1727174.797,2498.437018
377.13174,1740506.266,2474.354846
377.13174,1752144.566,2453.540078
377.13174,1763750.912,2433.289147
377.13174,1783751.946,2397.974053
377.13174,1773755.057,2415.557041
377.13174,1805552.101,2358.019089
377.13174,1816163.775,2340.205589
377.13174,1794987.355,2377.183109
401.46282,1766814.531,2547.154137
401.46282,1781151.415,2525.851638
401.46282,1796371.952,2500.879102
401.46282,1811249.37,2476.841486
401.46282,1824626.349,2452.262656
401.46282,1837924.172,2429.069336
401.46282,1849586.685,2411.025231
401.46282,1858736.152,2394.640161
425.7939,1881006.677,2549.213396
425.7939,1895110.05,2518.514786
425.7939,1905118.201,2494.4262
425.7939,1916658.315,2470.555886
437.95944,1975962.354,2548.723042
