TAS (m/s),Thrust (N),Altitude (m),Mach Number
24.94854548,3669.832383,10668,0.08413344421186
30.24596026,3634.1372460000002,10668,0.10199780232514159
43.11177022,3592.181904,10668,0.14538489699075222
51.43676847,3569.2646240000004,10668,0.17345910982980095
59.76194350000001,3558.3331789999997,10668,0.2015339188202478
68.08718482,3551.8964229999997,10668,0.22960895135903817
81.71034917,3544.2238039999997,10668,0.27555005597167165
90.03583357,3554.2675710000003,10668,0.3036259082439265
98.36122957,3558.3184200000005,10668,0.3317014624067595
106.68682450000001,3575.853333,10668,0.35977768741696
115.012353,3588.8935579999998,10668,0.3878536884066978
124.34732659999999,3623.1730020000005,10668,0.41933381943174647
131.6637638,3638.945678,10668,0.4440068834983166
139.98938080000002,3657.978821,10668,0.4720831829347042
148.3150861,3683.0048810000003,10668,0.5001597801432857
156.6407031,3702.0380229999996,10668,0.5282360795796732
164.966519,3734.5552299999995,10668,0.5563130497622598
171.40019740000002,3766.015587,10668,0.5780092052827239
183.8886891,3799.059989,10668,0.6201238776821436
192.214505,3831.577196,10668,0.6482008478647303
200.54036509999997,3867.090861,10668,0.6762779671020278
208.866203,3901.1062979999997,10668,0.7043550114747422
217.19204100000002,3935.1217340000003,10668,0.7324320561846843
225.5179673,3975.1300880000003,10668,0.7605093986668203
233.8440483,4025.6260469999997,10668,0.7885872628404446
242.1698863,4059.641483,10668,0.8166643075503867
250.4960557,4116.13036,10668,0.8447424698334327
258.8220484,4160.633402,10668,0.8728200362348632
267.1481736,4214.12582,10668,0.9008980494631983
275.47432089999995,4269.116467,10668,0.9289761372188887
283.8004903,4325.605344,10668,0.9570542995019349
292.12661560000004,4379.097761999999,10668,0.985132313067498
300.4528955,4443.077785,10668,1.0132108479873214
308.7790428,4498.0684329999995,10668,1.041288935743012
316.0959441,4545.303926,10668,1.0659635648840466
325.4313153,4606.551498,10668,1.0974450367270376
333.7574185,4658.545687,10668,1.1255229757652454
342.0834553,4706.045187,10668,1.1536006908841587
350.4096468,4764.032293,10668,1.1816789276945603
358.73563939999997,4808.5353350000005,10668,1.2097564937587626
365.8001666,4849.587056,10668,1.2335800471414975
375.3876468,4899.039648,10668,1.2659117007517509
383.71344060000007,4930.058626,10668,1.2939885964069824
392.03945530000004,4976.059897,10668,1.32206623699854
400.3653375,5013.071792,10668,1.350143430763193
407.429581,5034.896236,10668,1.3739660274305094
417.01694710000004,5076.607976,10668,1.406297296263783
425.34258619999997,5097.139348,10668,1.4343736702275258
433.6685125,5137.147702,10668,1.4624510127096622
441.9942068,5161.424647,10668,1.4905275728231797
450.31987910000004,5184.2033630000005,10668,1.51860405874657
458.6454961,5203.236506,10668,1.5466803581829573
465.4572882,5213.633376,10668,1.569651618414844
476.8100245,5213.981559000001,10668,1.6079362072664747
485.13553099999996,5225.523555,10668,1.6360121340660847
493.4608608,5225.079715999999,10668,1.6640874649840793
501.7863893,5238.119941,10668,1.6921634659738174
510.1117191000001,5237.676102,10668,1.720238796891812
518.4371593000001,5244.723409,10668,1.748314500109356
526.762732,5260.760093,10668,1.7763906501538045
535.0880618,5260.316254,10668,1.804465981071799
543.4134136,5261.370644,10668,1.8325413861799211
551.7388096,5265.421493,10668,1.860616940342754
560.064073,5260.482966,10668,1.8886920473414543
568.3896016,5273.523190999999,10668,1.91676804866842
576.7149755,5276.075811,10668,1.9448435283038978
584.9111647000001,5265.816554999999,10668,1.9724833611494978
7.780020137,2381.9222839999998,13716,0.026366738372297423
18.87402108,2331.827744,13716,0.06396466424076383
27.19870996,2287.935253,13716,0.09217730249421333
35.52342094,2245.540992,13716,0.12039001564527335
43.06438095,2223.8679469999997,13716,0.14594657156137372
52.93032988,2204.024569,13716,0.17938258967585455
61.25541652,2187.100206,13716,0.20759657595073205
69.58056945,2174.670532,13716,0.2358107868845508
77.90587707,2172.7284640000003,13716,0.2640255220677528
86.23118468,2170.786395,13716,0.2922402572170645
94.5564923,2168.844327,13716,0.32045499240026654
102.8817999,2166.9022579999996,13716,0.3486697275156879
111.20730640000001,2178.444254,13716,0.37688513670960394
119.532835,2191.4844789999997,13716,0.4051006208011305
127.8582973,2200.030016,13716,0.4333158801998255
133.9132698,2212.401313,13716,0.4538363766699692
148.29360730000002,2226.725937,13716,0.5025718027859798
156.6192243,2245.7590800000003,13716,0.5307875864679483
164.9448634,2266.2904519999997,13716,0.5590034450475274
173.2704362,2282.327136,13716,0.587219078934275
181.59618569999998,2310.349655,13716,0.6154353116630035
189.92189109999998,2335.3757149999997,13716,0.6436513949354141
198.2475523,2357.405316,13716,0.6718673284126038
206.57332390000002,2386.926064,13716,0.7000836360389429
214.8991619,2420.9415,13716,0.7283001686970165
220.95446580000004,2455.7862379999997,13716,0.748821788292415
232.3077281,2491.79228,13716,0.7872983592350187
240.6335219,2522.8112579999997,13716,0.8155147420978714
248.95949240000002,2565.81607,13716,0.8437317238027052
257.2854409,2607.322653,13716,0.8719486309488316
